org,total_repos,lenguajes
Adityarajsingh2904,10,"CSS, Java, JavaScript, Jupyter Notebook, Python"
CesarPetrescu,10,"Python, Shell"
Dakuon-Devin,10,"Jupyter Notebook, Kotlin, Python, TypeScript"
Flickinny11,10,"JavaScript, TypeScript"
GaryOcean428,10,"HTML, Python, TypeScript"
Grazulex,10,"Blade, PHP"
HendricksJudy,10,"Dockerfile, Jupyter Notebook, Python, Swift, TypeScript"
JStanoeva,10,"CSS, HTML, JavaScript"
JohnCelery,10,"HTML, JavaScript, Swift, TypeScript"
KanterAlon,10,"HTML, JavaScript, TypeScript"
Krealer,10,"HTML, JavaScript, Lua, Python, TypeScript"
KristopherKubicki,10,"HTML, Python, Rust, Swift"
MihaiCristianCondrea,10,"HTML, Java, Kotlin"
MrMoneyDeveloper,10,"C#, HTML, JavaScript, Python"
N3b3x,10,"C, C++"
OpenCoq,10,"OCaml, Python, Scheme, Shell, TypeScript"
PierreGode,10,"CSS, JavaScript, Python, Shell"
Planqton,10,"HTML, Kotlin, Python"
TFMV,10,"Go, Python"
TemurRust,10,"C++, Go, Java, Jupyter Notebook, Rust, TypeScript"
The-Poolz,10,"C#, JavaScript, TypeScript"
ThunderDoesDev,10,"Batchfile, JavaScript, Python, TypeScript"
VibeCoder01,10,"PowerShell, TypeScript"
ZoneCog,10,"C, C++, Python, TypeScript"
aXR6,10,Python
agrianwahab,10,Python
agrianwahab39,10,Python
axyl-casc,10,"HTML, Java, JavaScript, Shell, TypeScript"
benbalter,10,"JavaScript, PHP, Ruby, TypeScript"
blues,10,"C, C++, Go, Python, Svelte"
borgesr18,10,"CSS, HTML, JavaScript, Python, TypeScript"
codex-test-repos,10,Python
doggy8088,10,"C#, JavaScript, Shell, TypeScript"
drzo,10,"C, Emacs Lisp, JavaScript, Python, Scheme, TypeScript"
dx-junkyard,10,"Java, JavaScript, Python, TypeScript"
elithaxxor,10,"JavaScript, Python, TypeScript"
ereal21,10,Python
erkinalp,10,"PHP, Python, Rust, TypeScript"
funny-bunny-corp,10,"Dockerfile, Go, HTML, Java"
futuroptimist,10,"JavaScript, OpenSCAD, Python, Shell"
gofiber,10,"Go, TypeScript"
goldmanchen286,10,"Go, JavaScript, Jupyter Notebook, Python, TypeScript"
jlportman3,10,"C, JavaScript, PHP, Perl, Python, TypeScript"
kabii-mwangi,10,PHP
martinobettucci,10,"Python, TypeScript"
mmasias,10,"Java, Visual Basic 6.0"
mtklein,10,"C, HTML, Makefile, Odin"
obeone,10,"Go, Python, Smarty, TypeScript, Vue"
paulthomason,10,"C, HTML, JavaScript, Python, TypeScript"
philr-a1,10,—
popstas,10,"JavaScript, Python, SCSS, TypeScript"
s00r1,10,"CSS, HTML, JavaScript, Python"
satochi-yamamoto,10,"Blade, JavaScript, Jinja, Kotlin, Vue"
seclution,10,"Java, PowerShell, Python, Shell"
selazr,10,"HTML, JavaScript, Python"
sherafyk,10,"CSS, Dockerfile, JavaScript, Python, TypeScript"
shitcoinsol,10,"HTML, JavaScript"
sowahm808,10,"JavaScript, PHP, TypeScript"
stevross-git,10,"JavaScript, Python"
svc-design,10,"Dart, Go, Makefile, Python, Shell, TypeScript"
tanerizawa,10,"Dart, Kotlin, Python, Rust"
timheuer,10,"C#, JavaScript, TypeScript"
tommy-ca,10,"JavaScript, Python, Rust, TypeScript"
wagskydive,10,"C++, HTML, Python, TypeScript"
wieslawsoltes,10,"C#, JavaScript"
yuiseki,10,"JavaScript, Makefile, Python, TypeScript"
Abaaza,9,"HTML, JavaScript, TypeScript"
ControllingTransmission,9,"HTML, JavaScript"
DYAI2025,9,"Python, TypeScript"
DaniilMusin,9,"Python, TypeScript"
DayVilla,9,"Java, Kotlin"
DontDoThat21,9,"C#, HTML, JavaScript, Python"
EM-Dev-Git,9,"Python, Visual Basic .NET"
Fujiwo,9,"C#, HTML, JavaScript, Python"
GeorgeWebDevCy,9,"JavaScript, PHP"
